timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702814555177,1004,Load Testing,200,OK,Thread Group 1-1,text,true,,1558,136,4,4,https://random-data-api.com/api/v2/users,1001,0,725
1702814555460,825,Load Testing,200,OK,Thread Group 1-2,text,true,,1551,136,3,3,https://random-data-api.com/api/v2/users,825,0,552
1702814555810,816,Load Testing,200,OK,Thread Group 1-3,text,true,,1551,136,3,3,https://random-data-api.com/api/v2/users,815,0,536
1702814556169,817,Load Testing,200,OK,Thread Group 1-4,text,true,,1573,136,3,3,https://random-data-api.com/api/v2/users,817,0,543
1702814556528,824,Load Testing,200,OK,Thread Group 1-5,text,true,,1561,136,3,3,https://random-data-api.com/api/v2/users,824,0,548
1702814556888,814,Load Testing,200,OK,Thread Group 1-6,text,true,,1569,136,3,3,https://random-data-api.com/api/v2/users,814,0,539
1702814557249,814,Load Testing,200,OK,Thread Group 1-7,text,true,,1593,136,3,3,https://random-data-api.com/api/v2/users,814,0,539
1702814557607,816,Load Testing,200,OK,Thread Group 1-8,text,true,,1571,136,3,3,https://random-data-api.com/api/v2/users,816,0,542
1702814557967,799,Load Testing,200,OK,Thread Group 1-9,text,true,,1573,136,3,3,https://random-data-api.com/api/v2/users,799,0,529
1702814558327,797,Load Testing,200,OK,Thread Group 1-10,text,true,,1569,136,3,3,https://random-data-api.com/api/v2/users,797,0,525
1702814558687,804,Load Testing,200,OK,Thread Group 1-11,text,true,,1568,136,3,3,https://random-data-api.com/api/v2/users,804,0,533
1702814559047,817,Load Testing,200,OK,Thread Group 1-12,text,true,,1543,136,3,3,https://random-data-api.com/api/v2/users,817,0,541
1702814559406,815,Load Testing,200,OK,Thread Group 1-13,text,true,,1584,136,3,3,https://random-data-api.com/api/v2/users,814,0,539
1702814559767,820,Load Testing,200,OK,Thread Group 1-14,text,true,,1552,136,3,3,https://random-data-api.com/api/v2/users,820,0,537
1702814560127,819,Load Testing,200,OK,Thread Group 1-15,text,true,,1576,136,3,3,https://random-data-api.com/api/v2/users,819,0,536
1702814560487,806,Load Testing,200,OK,Thread Group 1-16,text,true,,1588,136,3,3,https://random-data-api.com/api/v2/users,806,0,534
1702814560847,815,Load Testing,200,OK,Thread Group 1-17,text,true,,1587,136,3,3,https://random-data-api.com/api/v2/users,815,0,541
1702814561206,801,Load Testing,200,OK,Thread Group 1-18,text,true,,1548,136,3,3,https://random-data-api.com/api/v2/users,801,0,530
1702814561567,817,Load Testing,200,OK,Thread Group 1-19,text,true,,1558,136,3,3,https://random-data-api.com/api/v2/users,817,0,543
1702814561926,807,Load Testing,200,OK,Thread Group 1-20,text,true,,1552,136,3,3,https://random-data-api.com/api/v2/users,807,0,536
1702814562286,802,Load Testing,200,OK,Thread Group 1-21,text,true,,1554,136,3,3,https://random-data-api.com/api/v2/users,802,0,530
1702814562646,811,Load Testing,200,OK,Thread Group 1-22,text,true,,1563,136,3,3,https://random-data-api.com/api/v2/users,811,0,537
1702814563007,815,Load Testing,200,OK,Thread Group 1-23,text,true,,1564,136,3,3,https://random-data-api.com/api/v2/users,815,0,539
1702814563367,817,Load Testing,200,OK,Thread Group 1-24,text,true,,1537,136,3,3,https://random-data-api.com/api/v2/users,817,0,538
1702814563726,813,Load Testing,200,OK,Thread Group 1-25,text,true,,1566,136,3,3,https://random-data-api.com/api/v2/users,813,0,538
1702814564086,817,Load Testing,200,OK,Thread Group 1-26,text,true,,1576,136,3,3,https://random-data-api.com/api/v2/users,817,0,533
1702814564445,822,Load Testing,200,OK,Thread Group 1-27,text,true,,1569,136,3,3,https://random-data-api.com/api/v2/users,822,0,545
1702814564805,833,Load Testing,200,OK,Thread Group 1-28,text,true,,1568,136,3,3,https://random-data-api.com/api/v2/users,833,0,529
1702814565165,807,Load Testing,200,OK,Thread Group 1-29,text,true,,1571,136,3,3,https://random-data-api.com/api/v2/users,807,0,533
